developer,owners
Robert Alvarez,670000
Neko Climax Studios,670000
Eipix Entertainment,660000
Tuwi Michael Nannings,660000
Virtual Rage Studios LLC,650000
"CINEMAX, s.r.o.",650000
Vyacheslav Shilikhin,650000
"Reflections, a Ubisoft Studio",650000
@unepic_fran,650000
Jaryd Brad Spann,650000
Destructive Creations,650000
Thunder Devs.,650000
Xatrix Entertainment,650000
Room710Games,650000
Subsoap,640000
ThinkOfGames,640000
Four Winged Studio,640000
Rainbow Studios,640000
IDEA FACTORY,640000
Zen Studios,640000
Kazakov Oleg,640000
Michaela Laws,620000
ALICE IN DISSONANCE,620000
Atum Software,620000
Grip Games,620000
Smudged Cat Games Ltd,620000
Colossal Wreck,620000
PixelMouse,620000
Walter Machado,620000
Aspyr,620000
COMPILE HEART,620000
Hunted Cow Studios,620000
Warfare Studios,620000
Labory,620000
Alexey Bokulev,620000
Sumo Digital,620000
Winter Wolves,620000
Vidas Salavejus,620000
MAGES. Inc.,610000
NovaLogic,610000
Bitbox Ltd.,600000
Misfits Attic,600000
South East Games,600000
Toxic Games,600000
Carlsen Games,600000
Synapse Games,600000
Code}{atch,600000
Opus,600000
Konstructors Entertainment,600000
Dominique Grieshofer,600000
Animu Game,600000
Invent4 Entertainment,600000
Colossal Games,600000
Signal Studios,600000
Strategy First,600000
The Game Creators,600000
Supra Games,600000
Camex Games,600000
Blue Wizard Digital,600000
Swing Swing Submarine,600000
1C: Maddox Games,600000
Ice-Pick Lodge,600000
Ubisoft Entertainment,600000
Berzerk Studio,600000
DiezelPower,600000
THE BROTHERHOOD,600000
Ska Studios,600000
"CAPCOM CO., LTD.",600000
Roll7,600000
Denis Ovsyannikov,600000
Climax Studios,600000
Electric Root,590000
